date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:56	22906/22906	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:08%20GMT	https://forbetterweb.com/html/concept/indexportfolio2.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexportfolio2.html	(from )
16:15:57	111/111	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Nov%202025%2020:49:45%20GMT	https://forbetterweb.com/robots.txt		(from )
16:15:58	17049/17049	---M--	200	added ('OK')	image/png	etag:%22101a8c3-4299-5b142761b1ec0%22	https://forbetterweb.com/html/concept/img/misc/favicon.png	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/img/misc/favicon.png	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:15:58	121228/121228	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Oct%202020%2009:55:30%20GMT	https://forbetterweb.com/html/concept/css/bootstrap.min.css	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/css/bootstrap.min.css	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:15:59	894/894	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Oct%202020%2009:47:23%20GMT	https://forbetterweb.com/html/concept/css/dark-top-menu.css	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/css/dark-top-menu.css	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:15:59	58339/58339	---M-Z	200	added ('OK')	text/css	etag:%22101a775-e3e3-5b14df3a79e80-gzip%22	https://forbetterweb.com/html/concept/css/main.css	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/css/main.css	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:15:59	43631/43631	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:09%20GMT	https://forbetterweb.com/html/concept/indexslider.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexslider.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:00	41853/41853	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:11%20GMT	https://forbetterweb.com/html/concept/indexvideo.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexvideo.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:00	30408/30408	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:02%20GMT	https://forbetterweb.com/html/concept/indexagency.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexagency.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:01	23418/23418	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:03%20GMT	https://forbetterweb.com/html/concept/indexapp.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexapp.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:01	25369/25369	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:08%20GMT	https://forbetterweb.com/html/concept/indexpersonal.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexpersonal.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:02	23921/23921	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:08%20GMT	https://forbetterweb.com/html/concept/indexpersonal2.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexpersonal2.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:02	34798/34798	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:08%20GMT	https://forbetterweb.com/html/concept/indexportfolio.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexportfolio.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:03	24171/24171	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:04%20GMT	https://forbetterweb.com/html/concept/indexcar.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexcar.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:05	26398/26398	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:04%20GMT	https://forbetterweb.com/html/concept/indexconstruction.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexconstruction.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:05	24093/24093	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:04%20GMT	https://forbetterweb.com/html/concept/indexbarber.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexbarber.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:05	23140/23140	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:10%20GMT	https://forbetterweb.com/html/concept/indexspa.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexspa.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:06	24765/24765	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:04%20GMT	https://forbetterweb.com/html/concept/indexcafe.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexcafe.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:07	30027/30027	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:05%20GMT	https://forbetterweb.com/html/concept/indexevent.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexevent.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:07	23458/23458	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:03%20GMT	https://forbetterweb.com/html/concept/indexarchdesign.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexarchdesign.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:07	25907/25907	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:12%20GMT	https://forbetterweb.com/html/concept/landing.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/landing.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:07	21163/21163	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:12%20GMT	https://forbetterweb.com/html/concept/landing2.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/landing2.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:08	22235/22235	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:12%20GMT	https://forbetterweb.com/html/concept/landingdark.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/landingdark.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
16:16:08	32421/32421	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Oct%202023%2015:56:06%20GMT	https://forbetterweb.com/html/concept/indexparallax-one.html	C:/My%20Web%20Sites/https___forbetterweb.com_html_concept_indexportfolio2.html/forbetterweb.com/html/concept/indexparallax-one.html	(from https://forbetterweb.com/html/concept/indexportfolio2.html)
